PF3D7_1366300	conserved Plasmodium protein unknown function
PF3D7_0809800	conserved Plasmodium protein unknown function
PF3D7_1338800	CPW-WPC family protein
PF3D7_1401800	choline kinase
PF3D7_0532400	lysine-rich membrane-associated PHISTb protein
PF3D7_0403700	pre-mRNA-splicing factor CLF1 putative
PF3D7_0213600	conserved Plasmodium protein unknown function
PF3D7_0104800	novel putative transporter 1 putative
PF3D7_1216200	glycerol-3-phosphate dehydrogenase [NAD(+)] putative
PF3D7_0515400	conserved protein unknown function
PF3D7_1474100	mitochondrial ribosomal protein L20 precursor putative
PF3D7_0930700	conserved Plasmodium protein unknown function
PF3D7_0910600	SNARE protein
PF3D7_0625000	sphingomyelin synthase 1 putative
PF3D7_0307300	microtubule-associated protein RP/EB family putative
PF3D7_0424300	erythrocyte binding antigen-165 pseudogene
PF3D7_0518300	proteasome subunit beta type-1 putative
PF3D7_1117000	conserved Plasmodium membrane protein unknown function
PF3D7_1361300	conserved Plasmodium protein unknown function
PF3D7_1433800	conserved Plasmodium protein unknown function
PF3D7_1331100	DNA polymerase theta putative
PF3D7_0103500	conserved Plasmodium protein unknown function
PF3D7_0420300	AP2 domain transcription factor putative
PF3D7_1447800	calponin homology domain-containing protein putative
PF3D7_0721000	conserved Plasmodium membrane protein unknown function
PF3D7_0518700	mRNA-binding protein PUF1
PF3D7_0411000	conserved Plasmodium protein unknown function
PF3D7_1310800	tetratricopeptide repeat protein putative
PF3D7_1422500	ERAD-associated E3 ubiquitin-protein ligase HRD1
PF3D7_1204700	conserved protein unknown function
PF3D7_1221300	conserved Plasmodium protein unknown function
PF3D7_1436200	conserved Plasmodium protein unknown function
PF3D7_0622900	AP2 domain transcription factor AP2Tel
PF3D7_0610200	RNA-binding protein 25 putative
PF3D7_0717800	conserved Plasmodium protein unknown function
PF3D7_1368400	ribosomal protein L1 putative
PF3D7_0920500	ADP-ribosylation factor putative
PF3D7_1458300	conserved Plasmodium protein unknown function
PF3D7_0404600	conserved Plasmodium membrane protein unknown function
PF3D7_0316300	inorganic pyrophosphatase inorganic pyrophosphatase putative
PF3D7_0716500	conserved Plasmodium protein unknown function
PF3D7_1244800	translation machinery-associated protein 46 putative
PF3D7_0317200	cdc2-related protein kinase 4
PF3D7_1248600	conserved Plasmodium protein unknown function
PF3D7_0715300	calcium/calmodulin-dependent protein kinase putative
PF3D7_1363100	conserved Plasmodium protein unknown function
PF3D7_1025400	conserved Plasmodium membrane protein unknown function
PF3D7_0909000	conserved Plasmodium protein unknown function
PF3D7_1440200	stromal-processing peptidase putative
PF3D7_1337100	protein kinase 6
PF3D7_0824000	conserved Plasmodium protein unknown function
PF3D7_1361200	conserved Plasmodium protein unknown function
PF3D7_1118400	haloacid dehalogenase-like hydrolase putative
PF3D7_0802000	glutamate dehydrogenase putative
PF3D7_0618900	phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1
PF3D7_0114300	exported protein family 4 pseudogene
PF3D7_1368100	26S proteasome regulatory subunit RPN11 putative
PF3D7_1247500	serine/threonine protein kinase putative
PF3D7_1144200	conserved Plasmodium protein unknown function
PF3D7_1023100	dynein heavy chain putative
PF3D7_0423800	cysteine-rich protective antigen
PF3D7_0415100	conserved protein unknown function
PF3D7_0406900	conserved Plasmodium protein unknown function
PF3D7_1371600	erythrocyte binding like protein 1 pseudogene
PF3D7_1021900	PHAX domain-containing protein putative
PF3D7_1373500	erythrocyte membrane protein 1 PfEMP1
